Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;Onshore capacity
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;40;40;40;40;40;0
Austria ;0;0;0;205;162;131;169;0;12;0;0;131;251;273;337;319;228;196;230;152;25;298;328;331;120;450;400;400;410;410;430;3778
Belarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;0;0;0;0;13;12;22;39;10;68;199;174;221;327;54;266;177;302;204;207;152;305;303;203;220;230;240;250;250;250;250;3258
Bosnia & Herzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;36;48;0;0;0;80;0;130;130;70;70;0;135
Bulgaria;0;0;0;0;0;0;0;0;45;37;325;147;54;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;610
Croatia;0;0;0;0;0;0;11;0;0;52;0;11;51;111;0;45;34;147;0;69;152;187;0;156;150;100;50;50;300;190;40;1026
Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Czechia;0;0;0;0;0;0;0;42;0;18;0;0;38;0;0;0;0;26;14;20;0;0;0;13;10;40;30;50;70;70;80;171
Denmark;102;0;205;204;0;11;0;0;54;297;353;135;148;649;80;234;220;342;220;28;136;149;131;54;50;120;230;260;270;280;280;3752
Estonia;0;0;0;0;0;18;0;21;0;39;16;24;101;22;0;1;7;0;0;10;0;0;0;58;230;130;150;200;240;430;460;317
Faroa Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Finland;0;0;0;0;12;0;0;0;0;0;41;0;24;229;134;379;570;475;0;243;302;671;2430;1278;1100;1400;970;1210;1460;1470;1470;6788
France;0;70;45;44;81;327;740;841;1095;1314;1143;1024;751;577;770;1073;1561;1692;1563;1336;1318;1192;1590;1385;1140;2000;2000;2000;2000;1390;1160;21532
Germany;538;1172;1262;1405;1082;1176;1529;926;485;1294;703;799;1574;1995;3722;6008;4630;5334;2402;1078;1431;1925;2403;3567;4000;5130;5590;6230;6740;6740;7380;48440
Greece;129;40;14;134;81;123;163;127;141;168;186;353;119;89;127;156;239;282;207;727;517;338;230;543;330;500;420;400;400;400;100;5233
Hungary;0;0;0;0;0;0;0;48;47;0;128;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319
Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;27;0;12;58;53;62;98;137;200;87;215;148;47;162;228;224;384;426;193;463;196;54;280;275;340;450;550;480;380;480;500;4029
Italy;38;94;98;33;36;401;143;633;717;777;646;1088;697;263;89;306;282;252;452;456;137;201;496;525;400;400;490;1020;1260;1390;1400;8860
Kosovo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;105;0;0;0;0;0;0;20;50;80;137
Latvia;0;0;20;0;0;0;0;0;0;0;0;0;21;0;0;0;2;0;0;0;0;0;59;0;0;220;230;300;200;190;0;102
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;0;0;0;0;0;0;30;16;14;20;70;0;21;39;0;27;178;0;18;0;0;120;69;262;350;350;450;350;300;300;300;884
Luxembourg;0;0;0;0;13;0;0;0;0;0;0;0;12;0;0;0;0;0;0;16;30;4;29;42;10;80;50;30;50;30;20;146
Malta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;60;60;160;0;0;0;46
